"","idx","type","spl"
"1",6826,"test",1
"2",10698,"test",1
"3",4578,"test",1
"4",18371,"test",1
"5",20984,"test",1
"6",22719,"test",1
"7",11766,"test",1
"8",9867,"test",1
"9",18677,"test",1
"10",13175,"test",1
"11",12849,"test",1
"12",15024,"test",1
"13",23128,"test",1
"14",5028,"test",1
"15",21526,"test",1
"16",446,"test",1
"17",7814,"test",1
"18",7602,"test",1
"19",1556,"test",1
"20",67,"test",1
"21",21675,"test",1
"22",1585,"test",1
"23",22265,"test",1
"24",18335,"test",1
"25",7367,"test",1
"26",7477,"test",1
"27",22886,"test",1
"28",14896,"test",1
"29",2945,"test",1
"30",17018,"test",1
"31",11844,"test",1
"32",11841,"test",1
"33",13873,"test",1
"34",17001,"test",1
"35",6867,"test",1
"36",8028,"test",1
"37",21012,"test",1
"38",16116,"test",1
"39",2397,"test",1
"40",4264,"test",1
"41",7694,"test",1
"42",10006,"test",1
"43",8890,"test",1
"44",3815,"test",1
"45",2092,"test",1
"46",8021,"test",1
"47",9436,"test",1
"48",15625,"test",1
"49",5967,"test",1
"50",6228,"test",1
"51",14321,"test",1
"52",2198,"test",1
"53",22337,"test",1
"54",18928,"test",1
"55",7207,"test",1
"56",19373,"test",1
"57",19543,"test",1
"58",14376,"test",1
"59",10139,"test",1
"60",16780,"test",1
"61",1659,"test",1
"62",1767,"test",1
"63",14803,"test",1
"64",9508,"test",1
"65",22958,"test",1
"66",9339,"test",1
"67",19329,"test",1
"68",3850,"test",1
"69",6179,"test",1
"70",23154,"test",1
"71",11765,"test",1
"72",339,"test",1
"73",12712,"test",1
"74",16225,"test",1
"75",8381,"test",1
"76",8768,"test",1
"77",16164,"test",1
"78",5265,"test",1
"79",23423,"test",1
"80",14699,"test",1
"81",9015,"test",1
"82",13257,"test",1
"83",17699,"test",1
"84",8870,"test",1
"85",2581,"test",1
"86",694,"test",1
"87",17331,"test",1
"88",19375,"test",1
"89",8055,"test",1
"90",20683,"test",1
"91",12020,"test",1
"92",5217,"test",1
"93",10284,"test",1
"94",15521,"test",1
"95",19453,"test",1
"96",19337,"test",1
"97",1068,"test",1
"98",10415,"test",1
"99",5323,"test",1
"100",21646,"test",1
"101",185,"test",1
